Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Direct_rad_transmittance Dir_norml_PAR_photn_flux Extraterrestrial_spectrm
.6960E+03 .1305E+01 .6974E-01 .9056E+00 .7591E+01 .1441E+01
.6970E+03 .1358E+01 .7421E-01 .9439E+00 .7910E+01 .1438E+01
.6980E+03 .1332E+01 .7232E-01 .9430E+00 .7772E+01 .1412E+01
.6990E+03 .1327E+01 .7038E-01 .9216E+00 .7752E+01 .1439E+01
.7000E+03 .1290E+01 .6803E-01 .9225E+00 .7549E+01 .1398E+01
.7010E+03 .1258E+01 .6567E-01 .9190E+00 .7373E+01 .1369E+01
.7020E+03 .1271E+01 .6635E-01 .9258E+00 .7460E+01 .1373E+01
.7030E+03 .1271E+01 .6591E-01 .9239E+00 .7471E+01 .1376E+01
.7040E+03 .1299E+01 .6770E-01 .9364E+00 .7647E+01 .1388E+01
.7050E+03 .1317E+01 .6811E-01 .9364E+00 .7760E+01 .1406E+01
.7060E+03 .1315E+01 .6786E-01 .9418E+00 .7758E+01 .1396E+01
.7070E+03 .1314E+01 .6749E-01 .9435E+00 .7763E+01 .1392E+01
.7080E+03 .1331E+01 .6799E-01 .9439E+00 .7880E+01 .1410E+01
.7090E+03 .1305E+01 .6660E-01 .9501E+00 .7734E+01 .1373E+01
.7100E+03 .1323E+01 .6697E-01 .9477E+00 .7853E+01 .1396E+01
.7110E+03 .1319E+01 .6649E-01 .9496E+00 .7841E+01 .1389E+01
.7120E+03 .1308E+01 .6570E-01 .9523E+00 .7787E+01 .1374E+01
.7130E+03 .1307E+01 .6509E-01 .9502E+00 .7787E+01 .1375E+01
.7140E+03 .1318E+01 .6528E-01 .9502E+00 .7866E+01 .1387E+01
.7150E+03 .1278E+01 .6256E-01 .9430E+00 .7638E+01 .1355E+01
.7160E+03 .1292E+01 .6275E-01 .9403E+00 .7733E+01 .1374E+01
.7170E+03 .1100E+01 .4958E-01 .8557E+00 .6596E+01 .1286E+01
.7180E+03 .1008E+01 .4385E-01 .8107E+00 .6048E+01 .1243E+01
.7190E+03 .9059E+00 .3819E-01 .7644E+00 .5445E+01 .1185E+01
.7200E+03 .9466E+00 .4000E-01 .7876E+00 .5697E+01 .1202E+01
.7210E+03 .1060E+01 .4672E-01 .8446E+00 .6387E+01 .1255E+01
.7220E+03 .1233E+01 .5725E-01 .9290E+00 .7443E+01 .1328E+01
.7230E+03 .1132E+01 .5050E-01 .8775E+00 .6843E+01 .1290E+01
.7240E+03 .1016E+01 .4330E-01 .8197E+00 .6152E+01 .1240E+01
.7250E+03 .1018E+01 .4284E-01 .8196E+00 .6168E+01 .1242E+01
.7260E+03 .1078E+01 .4591E-01 .8507E+00 .6542E+01 .1267E+01
.7270E+03 .1074E+01 .4575E-01 .8463E+00 .6528E+01 .1269E+01
.7280E+03 .1026E+01 .4255E-01 .8276E+00 .6245E+01 .1240E+01
.7290E+03 .1045E+01 .4421E-01 .8563E+00 .6367E+01 .1220E+01
.7300E+03 .1132E+01 .4819E-01 .8815E+00 .6907E+01 .1284E+01
.7310E+03 .1068E+01 .4455E-01 .8577E+00 .6526E+01 .1245E+01
.7320E+03 .1155E+01 .4929E-01 .8944E+00 .7070E+01 .1292E+01
.7330E+03 .1203E+01 .5238E-01 .9294E+00 .7370E+01 .1294E+01
.7340E+03 .1239E+01 .5398E-01 .9365E+00 .7605E+01 .1324E+01
.7350E+03 .1216E+01 .5250E-01 .9331E+00 .7472E+01 .1303E+01
.7360E+03 .1209E+01 .5197E-01 .9357E+00 .7441E+01 .1293E+01
.7370E+03 .1217E+01 .5193E-01 .9332E+00 .7498E+01 .1304E+01
.7380E+03 .1244E+01 .5356E-01 .9513E+00 .7675E+01 .1308E+01
.7390E+03 .1201E+01 .5136E-01 .9492E+00 .7419E+01 .1265E+01
.7400E+03 .1230E+01 .5258E-01 .9556E+00 .7610E+01 .1287E+01
.7410E+03 .1224E+01 .5215E-01 .9595E+00 .7580E+01 .1275E+01
.7420E+03 .1222E+01 .5194E-01 .9627E+00 .7581E+01 .1270E+01
.7430E+03 .1247E+01 .5273E-01 .9638E+00 .7744E+01 .1294E+01
.7440E+03 .1256E+01 .5290E-01 .9657E+00 .7810E+01 .1300E+01
.7450E+03 .1240E+01 .5201E-01 .9672E+00 .7723E+01 .1282E+01
.7460E+03 .1249E+01 .5208E-01 .9672E+00 .7788E+01 .1291E+01
.7470E+03 .1263E+01 .5239E-01 .9677E+00 .7885E+01 .1305E+01
.7480E+03 .1248E+01 .5149E-01 .9679E+00 .7803E+01 .1289E+01
.7490E+03 .1250E+01 .5128E-01 .9681E+00 .7824E+01 .1291E+01
.7500E+03 .1231E+01 .5023E-01 .9683E+00 .7717E+01 .1271E+01
.7510E+03 .1218E+01 .4945E-01 .9684E+00 .7649E+01 .1258E+01
.7520E+03 .1245E+01 .5026E-01 .9687E+00 .7828E+01 .1285E+01
.7530E+03 .1221E+01 .4902E-01 .9690E+00 .7687E+01 .1260E+01
.7540E+03 .1246E+01 .4972E-01 .9690E+00 .7851E+01 .1285E+01
.7550E+03 .1235E+01 .4902E-01 .9690E+00 .7794E+01 .1274E+01
.7560E+03 .1222E+01 .4825E-01 .9693E+00 .7723E+01 .1261E+01
.7570E+03 .1227E+01 .4817E-01 .9693E+00 .7765E+01 .1266E+01
.7580E+03 .1227E+01 .4789E-01 .9691E+00 .7775E+01 .1266E+01
.7590E+03 .1190E+01 .4583E-01 .9599E+00 .7552E+01 .1240E+01
.7600E+03 .4426E+00 .7406E-02 .3546E+00 .2812E+01 .1248E+01
